COMID,StreamOrde,Roughness
203633,2,0.1
204083,2,0.1
203699,1,0.2
204085,2,0.1
203709,3,0.065
203711,3,0.065
33771775,3,0.065
33771777,3,0.065
203713,1,0.2
204087,2,0.1
204101,3,0.065
203719,3,0.065
203725,3,0.065
203729,3,0.065
207023,1,0.2
206013,1,0.2
207189,1,0.2
207195,1,0.2
205931,1,0.2
206301,2,0.1
207209,2,0.1
206257,2,0.1
207207,2,0.1
206297,2,0.1
207213,2,0.1
206371,2,0.1
206215,1,0.2
207205,1,0.2
206189,1,0.2
207201,1,0.2
206127,1,0.2
207199,1,0.2
206109,1,0.2
207197,1,0.2
206067,1,0.2
205661,2,0.1
207169,2,0.1
207013,1,0.2
205663,1,0.2
205673,1,0.2
206363,1,0.2
205897,1,0.2
207417,1,0.2
207413,1,0.2
207525,1,0.2
202861,1,0.2
206365,3,0.065
206351,3,0.065
206361,3,0.065
206341,1,0.2
206337,1,0.2
206385,1,0.2
207111,1,0.2
204091,1,0.2
205509,1,0.2
202883,1,0.2
203069,1,0.2
203715,3,0.065
207411,3,0.065
206195,2,0.1
206239,2,0.1
206251,2,0.1
206273,2,0.1
207103,2,0.1
942110020,2,0.1
942110017,2,0.1
942110018,2,0.1
206299,1,0.2
206335,1,0.2
206199,2,0.1
207155,3,0.065
207529,4,0.045
207165,4,0.045
207167,4,0.045
207527,4,0.045
206263,2,0.1
209929,4,0.045
209939,2,0.1
209943,2,0.1
209949,2,0.1
209953,2,0.1
209959,2,0.1
209963,2,0.1
209971,1,0.2
209975,1,0.2
209979,1,0.2
207425,1,0.2
207427,1,0.2
207523,3,0.065
207173,4,0.045
207163,3,0.065
207171,3,0.065
207157,3,0.065
207159,3,0.065
207161,3,0.065
207177,3,0.065
207415,3,0.065
206139,3,0.065
206111,3,0.065
206259,3,0.065
206147,3,0.065
206433,1,0.2
206291,1,0.2
206271,1,0.2
207419,1,0.2
207429,1,0.2
206213,2,0.1
207153,1,0.2
33771773,3,0.065
33771791,2,0.1
207185,3,0.065
207181,1,0.2
207179,3,0.065
207203,2,0.1
207211,2,0.1
33771767,1,0.2
1665355,0,
1665383,0,
1665391,0,
1665319,0,
1665333,0,
1665335,0,
1665375,0,
1665343,0,
1665321,0,
1665359,0,
1665339,0,
1665365,0,
1665453,0,
1665367,0,
1665369,0,
1665371,0,
1665331,0,
1665363,0,
1665373,0,
1663759,0,
1665379,0,
1665445,0,
1663755,0,
1663741,0,
1663745,0,
1663761,0,
1663737,0,
1663749,0,
1665443,0,
1663739,0,
1665377,0,
1663747,0,
1663751,0,
1665449,0,
1665441,0,
1665315,0,
1663743,0,
1663753,0,
1663757,0,
1665313,0,
1665317,0,
1665439,0,
1665447,0,
207327,0,
207351,0,
207331,0,
207325,0,
207329,0,
207333,0,
207335,0,
207337,0,
207341,0,
207151,0,
207345,0,
207339,0,
207355,0,
207357,0,
207343,0,
207353,0,
207365,0,
206073,0,
207347,0,
207349,0,
207359,0,
207361,0,
207363,0,
207375,0,
207367,0,
207371,0,
207373,0,
207379,0,
207369,0,
207377,0,
207323,0,
207149,0,
209919,0,
203079,0,
207313,0,
207317,0,
207321,0,
203077,0,
207319,0,
207315,0,
207421,3,0.065
207423,3,0.065
207431,3,0.065
207497,3,0.065
207495,1,0.2
207433,1,0.2
209983,4,0.045
210087,1,0.2
209985,1,0.2
942110021,2,0.1
942110034,1,0.2
7866540,1,0.2
7866542,1,0.2
7865874,1,0.2
7866546,1,0.2
7866544,1,0.2
7865968,1,0.2
7865652,1,0.2
7865742,1,0.2
7865790,1,0.2
7865876,1,0.2
7866530,1,0.2
7865858,1,0.2
7866534,2,0.1
7865954,2,0.1
7866844,2,0.1
7865974,2,0.1
7866438,1,0.2
7866532,1,0.2
7866428,1,0.2
7865942,1,0.2
7866528,1,0.2
7865820,1,0.2
7866630,0,
7866606,0,
7866608,0,
7866616,0,
7866618,0,
7866626,0,
7866628,0,
7866610,0,
7866620,0,
7866624,0,
7866632,0,
7866638,0,
7866640,0,
7866604,0,
7866612,0,
7866634,0,
7866858,0,
7866614,0,
7866642,0,
7866644,0,
7866622,0,
7866636,0,
7866646,0,
7866648,0,
7865746,1,0.2
3154813,1,0.2
3154775,1,0.2
3154787,1,0.2
3154797,1,0.2
3162679,1,0.2
3162239,1,0.2
3161967,1,0.2
3162219,1,0.2
3161981,1,0.2
3154145,1,0.2
3154805,1,0.2
3154819,1,0.2
3154807,2,0.1
3154809,1,0.2
3154063,1,0.2
3154799,1,0.2
3154801,1,0.2
3154585,1,0.2
3153913,1,0.2
3154781,1,0.2
3154793,1,0.2
3154795,1,0.2
3154803,1,0.2
3154613,1,0.2
3154161,1,0.2
3154821,1,0.2
7866846,0,
7866798,0,
7866796,0,
3154817,0,
3154687,0,
3154783,0,
3154685,0,
3154735,0,
3154733,0,
